338170,Rising Star Games
314520,Dovetail Games - Fishing 
368590,K Bros Games
356570,tinyBuild
2760,Atari
357190,"CAPCOM U.S.A., INC."
239250,Konami Digital Entertainment
323910
455130
501690
581630,Diatomic Games
559500
365300,Self Published
475190,Introversion Software
482770,SEGA
418250,Slitherine Ltd.
241260,Focus Home Interactive
24870,Electronic Arts
574620
513510,KHB-Soft
351710,Idea Factory,Idea Factory International
72200,Giant Army
357780,Alda Games
382490,Rogue Snail
607880,BANDAI NAMCO Entertainment
8140,Square Enix
251110,Loiste Interactive
444490,New Reality Games
528510,Back To Basics Gaming
485950,KishMish Games
347560,Back To Basics Gaming
506670,Ardi Studio
485830,New Worlds Games
465760,Flazm
19680
7510,Topware Interactive
475220,André Bertaglia
222730,Abbey Games
249590,Rain Games
511800,Pragmatix Ltd
208520,Kalypso Media Digital
552920,The Irregular Corporation
278890,Alastair John Jack
344880,Conflux Games
546200,8Floor
447880
333300,Thomas Biskup
614910,Paleno Games
464850,Big Ant Studios
113420,Little Orbit
443940,RenPen
639780,Neko Climax Studios
424370,WOLCEN Studio
561340,DyingCat
681810
233290,Square Enix
314660,"Oddworld Inhabitants, Inc."
619520,Vyacheslav Shilikhin
562010,APL Publishing Ltd.
623550,REX PEX GAMES
410380,Hex Entertainment
410900,EarthWork Games
40390,Deep Silver
483770,Aerosoft GmbH
429790,"Artix Entertainment, LLC"
746910,Jakal Studios
467120,Magicbane
527230,Curve Digital
254200,Digital Tribe
418030,ColdGames
504050,Craneballs
217200,Team17 Digital Ltd
313340,Double Fine Presents,David OReilly
63950,1C Entertainment
496680,Sometimes You
546660,SGTTB_Studios,Phanom Games
338530,Charyb Games
563120,New Reality Games
40300
414290,EfimovMax
640100
71340,SEGA
635200,Alawar Premium
40800
445310,Ubisoft
463220,New Reality Games
293180,Microblast Games
382110,Guy Godin
595340
331790,New Reality Games
454910,Aeria Games
410340,LuGus Studios
606800,Hovgaard Games
7520,"Topware Interactive, ACE"
285160,Warner Bros. Interactive Entertainment,Feral Interactive (Mac)
262150,eigoMANGA
265550,Capcom
581030,Atomic Fabrik,Cristian Manolachi
438030,New Reality Games
47780,Electronic Arts
428630,Infernal Dream
465240,Devolver Digital,Croteam
464340,Microids
440650,Stray Fawn Studio
616560,Brilliant Game Studios
242700,Warner Bros. Interactive Entertainment
469730,Back To Basics Gaming
223850,UL
302510,Crytek 
604500,Extreme Developers
356500,Disney Interactive,Lucasfilm,LucasArts
223710,Team Psykskallar
212480,SEGA
434570,Grunge Games LTD
507390,Sometimes You
585900,Natsume Inc.
218680,Warner Bros. Interactive Entertainment
377530
35700,Frozenbyte
575840,Sometimes You
3990,2K
266510,Defiant Development
209870,"Hardsuit Labs, Inc."
214170,Larian Studios
400740,Infernal Dream
393530,PlayFlock
452060,The Yogscast
312990,Devolver Digital
471010,IMGN.PRO
265300,CI Games
640590,Warner Bros. Interactive Entertainment
17470,Electronic Arts
448280,Owlchemy Labs
384180,505 Games
290730,ELYLAND  INVESTMENT COMPANY Ltd
261030,Skybound Games
216250
259080,Square Enix
607200,AlternativaPlatform Ltd.
554530,Displacement Studios
407530,Studio Wildcard
419480,Iceberg Interactive
598330,LVGameDev LLC
564530,Activision
571260,SNK CORPORATION
235400,Nival
289520,1C Entertainment
495780,Sometimes You
3920,2K
237110,Warner Bros. Interactive Entertainment
525300,IR Studio
367670,Koga Tech Limited
15100,Ubisoft
43110
619080,"Outpost Games, Inc."
574070,ToHeroes Game Studios LLC
4850,GSC World Publishing
462770,Supergiant Games
717790,DistrictWare inc.
412830,"Spike Chunsoft Co., Ltd."
209080,Muse Games
200170,Team17 Digital Ltd
32800,Warner Bros. Interactive Entertainment
343360,Microblast Games
596690,Vyacheslav Shilikhin
535230,DolphinBarn
383870,Panic,Campo Santo
363680,Focus Home Interactive
284950,DL Softworks
298240,"Rocketeer Games Studio, LLC"
267530,Warner Bros. Interactive Entertainment,Feral Interactive (Mac)
263500,Versus Evil	
228380,THQ Nordic
457590,Subagames
287920,Star Vault AB
252610,Rocketcat Games
327690,Perfect World Entertainment
337320,South East Games
266410,iRacing.com Motorsport Simulations,iRacing
562080,tinyBuild
493730,LEVER Software,Enjoy Games
565860,VladCastillo
34460,2K
248170,Clickteam
225640,Deep Silver
108800,Electronic Arts
447530,Ysbryd Games,AGM PLAYISM
536220,Skybound Games
329000,New Reality Games
208090,Edge of Reality
509110,Back To Basics Gaming
405900,"NIS America, Inc."
213610,SEGA
617830,SUPERHOT Team
510510,2K
323850,Those Awesome Guys
511680,XSEED Games,"Marvelous USA, Inc.",Marvelous
9930
287680
547680,Hyper Hippo Games
329050,"CAPCOM Co., Ltd. "
667600,Infinite Dreams
621880,Ntroy LTD
226580,Codemasters
43160,Deep Silver
251150,XSEED Games,"Marvelous USA, Inc."
287980,Dinosaur Polo Club
281640,Versus Evil
597220,Asymmetric
665360,Lighthouse Games Studio
274520,Acid Wizard Studio
507490,Stardock Entertainment
24240,Daybreak Game Company
28050
282900,"Idea Factory International, Inc.","IDEA FACTORY Co., Ltd."
524580,Idea Factory International
553640,X.D. Network Inc.
356040,Team17 Digital Ltd
7600,2K,Feral Interactive (Mac)
410110,HypeTrain Digital
482850
654880,Game Grumps
474750,Devolver Digital
533780,Home Net Games
